Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
09:10:24 16:43:08,IFPjournalisme,@AugustinS évoque notre présence au procès #Dray VS #LeMonde dans son papier en home page de @rue89 http://tinyurl.com/yjd4gy2 #ifp,0,0,0,0,fr,Paris,"['Dray', 'LeMonde', 'ifp']"
09:10:23 15:00:47,PierreChaperon,RT @ozap: Vidéobuzz : Elkabbach stupéfait par le départ de Duroux http://bit.ly/71Ude #ifp,0,0,0,0,fr,,['ifp']
09:10:22 21:52:17,RevaGoldberg,RT: @Cinereach The #IFP conference panels are now available online. http://bit.ly/4ra6Kz,0,0,0,0,en,"Brooklyn, NY",['IFP']
09:10:22 16:36:27,PastorSandy,übt hier nebenan die gilde der alleinunterhalter an ihren peinlichen Bontempi orgeln oder was geht??? tse tse.. la paloma ohe... #ifp,0,0,0,0,de,Hannover,['ifp']
09:10:22 15:55:13,tweetfrancais,"RT: L'avocat de #Dray : ""Devant les futurs journalistes de l' #ifp, je dis attention à l'absence de précauti.. http://bit.ly/cznpk",0,0,0,0,fr,"Paris, France","['Dray', 'ifp']"
09:10:22 15:51:35,PaulLarrouturou,"Pierrat"" #mediapart arrive dvt votre tribunal. Quelquesoit le chgement de direction,#lemonde c une sle lignée de manque de déontologie"" #ifp",0,0,0,0,fr,France,"['mediapart', 'lemonde', 'ifp']"
09:10:22 15:49:58,PaulLarrouturou,"L'avocat de #Dray : ""Devant les futurs journalistes de l' #ifp, je dis attention à l'absence de précautions""(via @IFPjournalisme)",0,0,0,0,fr,France,"['Dray', 'ifp']"
09:10:22 15:48:00,PaulLarrouturou,les M2 à la 17ème Chambre du tribunal correctionnel pour assister à l'affaire #Dray VS Le Monde.#ifp (via @IFPjournalisme),0,0,0,0,fr,France,"['Dray', 'ifp']"
09:10:22 13:44:24,IFPjournalisme,"Pierrat""#mediapart arrive dvt votre tribunal. Quelquesoit le changement de direction,#lemonde c une sle lignée de manque de déontologie""#ifp",0,0,0,0,fr,Paris,"['mediapart', 'lemonde', 'ifp']"
09:10:22 13:36:10,IFPjournalisme,"Pierrat ""Cet article du Monde, c'est l'article fondateur du début de la chasse à courre avec l'espoir de l'hallali."" #ifp #Dray",0,0,0,0,fr,Paris,"['ifp', 'Dray']"
09:10:22 13:30:52,IFPjournalisme,"Pierrat ""L'affaire pénale n'existe pas. Tracfin a fini depuis un an. Je suis quasiment convaincu que #Dray ne sera pas poursuivi"".#ifp",0,0,0,0,fr,Paris,"['Dray', 'ifp']"
09:10:22 13:25:47,IFPjournalisme,"Pierrat démonte #lemonde et nous prend à témoin ""je parle devant les futurs journalistes de l' #ifp. Attention à l'absence de précautions"".",0,0,0,0,fr,Paris,"['lemonde', 'ifp']"
09:10:22 13:20:07,IFPjournalisme,seul média présent ds la salle @rue89 vers qui Pierrat se tourne à chaque fois qu'il prononce le mot déontologie lors de sa plaidoirie #ifp,0,0,0,0,fr,Paris,['ifp']
09:10:22 12:47:37,IFPjournalisme,les M2 à la 17ème Chambre du tribunal correctionnel pour assister à l'affaire #Dray VS Le Monde.#ifp,0,0,0,0,fr,Paris,"['Dray', 'ifp']"
09:10:22 11:14:20,simonroze,"RT @IFPjournalisme: Les M1 formés à la réalisation radio, une édition hebdomadaire dopée en préparation! à podcaster absolument! #IFP",0,0,0,0,fr,Paris,['IFP']
