Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
09:12:29 01:50:14,ckdake,"just donated $3k total from #gallery to #kohana, #drupal, #mediawiki, #sourceforge, #jquery, #freenode, #eff, #trac  Thanks for a good year!",0,0,0,0,en,,"['gallery', 'kohana', 'drupal', 'mediawiki', 'sourceforge', 'jquery', 'freenode', 'eff', 'trac']"
09:12:28 23:36:06,caroliente,@cherokeedassxxx can u tell Wesley Pipes #PLEASESTOP talkin SO MUCH while #Eff'n,0,0,0,0,en,SomeWhere Outta Di Way,"['PLEASESTOP', 'Eff']"
09:12:28 23:34:43,caroliente,@cherokeedassxxx can u tell Wesley Pipes to # PLEASESTOP talkin SO MUCH while #Eff'n,0,0,0,0,en,SomeWhere Outta Di Way,['Eff']
09:12:28 19:55:03,D_Whyte,Thats what she said. RT @1incentive: #eff the new jersey turnpike!!!,0,0,0,0,en,Atlanta,['eff']
09:12:28 18:08:27,EddyPDKS,@MistahMarvel shit that sucks..dat reminds me I gott a paid the ones I got for them meter spaces..#eff parkingservices,0,0,0,0,en,im somewhere handling business,['eff']
09:12:28 09:47:08,mR_arRieS,"#EFF LoVE ""Rihanna""..........................................i deseve good love im ready",0,0,0,0,en, United States,['EFF']
09:12:28 02:36:06,TheNewVisser,"Starving at home alone with no food, no company, no gas, and no money. #eff.",0,0,0,0,en,,['eff']
09:12:27 23:46:13,ceeSPUNKY,#answermethis .. who still wears giltter on their damned jeans still? What the #eff,0,0,0,0,en,"New Jersey, USA","['answermethis', 'eff']"
09:12:27 21:11:56,Lucy_80663,Why errbody headed to eastside? Mann da eastside is where its at! #Eff gwinnett!,0,0,0,0,en,📍 Canada 🇨🇦,['Eff']
09:12:27 21:01:22,itunesemowt,RT @JoNi_Mac: I wish @iAmTristanJamal & @MoneyOnUrMind stop #eff'n txtn me while I'm tryna watch da damn game Ugh!!!!! girl Fuck u,0,0,0,0,en,from New Orleans/schoolin n BR,['eff']
09:12:27 17:13:00,ceeSPUNKY,RT @MechanicalBeba Thinking twice about moving in with this kid... &lt;&lt; who the #eff ? Who is this dude no?,0,0,0,0,en,"New Jersey, USA",['eff']
09:12:27 06:21:40,RafalLos,"Hey, where is the #EFF here? Why aren't we filing law suits against the #TSA for these ""security"" inconveniences?",0,0,0,0,en,"Atlanta, GA","['EFF', 'TSA']"
09:12:27 05:29:06,ceeSPUNKY,"@BRETTLYNN @Lauren_Patrice too funny, I was like what the #eff is going on.. like on the low, let me know",0,0,0,0,en,"New Jersey, USA",['eff']
09:12:27 03:28:44,ceeSPUNKY,#answermethis .. who the #eff styll wears  lot29 anymore?,0,0,0,0,en,"New Jersey, USA","['answermethis', 'eff']"
09:12:27 01:16:39,D_Whyte,You can send me a pictuer to i can do your twit background. Thats bunches of fun! RT @adrianshanay: I need something fun to dooooo. #eff,0,0,0,0,en,Atlanta,['eff']
09:12:27 00:48:18,AddysHome,I need something fun to dooooo. #eff,0,0,0,0,en,kicking gluteus maximus. ,['eff']
09:12:26 23:57:25,EvrybodyLuvsRay,"In #2010: #eff being friends, all I need is the #benefits///",0,0,0,0,en,"Baton Rouge, LA","['eff', 'benefits']"
09:12:26 22:36:05,herRoyalStarnes,really wish i'd packed leftovers. #eff,0,0,0,0,en,"Right There,NY",['eff']
09:12:26 14:54:02,Jasonisbk,RT @youngyonny: @Jasonisbk SUPPIDY &lt;-- #eff the htc bs. Get up on the blk berry! Leggo,0,0,0,0,en,"ÜT: 40.720154,-73.992998",['eff']
09:12:26 07:00:04,JockingJody,@LiteSkinTwoppin aawwwww lol werd #eff it your in la la la love lol,0,0,0,0,en,Your favorite Artist,['eff']
09:12:26 05:39:36,yaboirichb_,lol mind ur business punk RT @SpanishFlyyCass Lmfao od @auntie_janice: #i #can #do #what #the #eff #i #please #and #you #aint #gon #do #shit,0,0,0,0,en,Harlem | ATL,"['i', 'can', 'do', 'what', 'the', 'eff', 'i', 'please', 'and', 'you', 'aint', 'gon', 'do', 'shit']"
09:12:25 22:02:42,ceeSPUNKY,Why the #eff did I watch this movie... DAMN IT !,0,0,0,0,en,"New Jersey, USA",['eff']
09:12:25 18:36:41,Annie_K83,#FF @kiluvsyuu #EFF @dizzyfeet @Sarah_92_7 @PaulaLover_C @StephyLuvsPJA @ILuvPaula @ColdHearted18 @4EvaAFanOfPaula @candy_abdul823,1,0,0,0,qme,Somewhere on Planet Earth :),"['FF', 'EFF']"
09:12:25 06:47:23,TCOT_Talk,RT @curtissthompson Why #TermLimits Is A #Naive Idea http://su.pr/2tLcWu #corruption #liberty #ronpaul #randpaul #aclu #eff #c4l #yal #yo..,0,0,0,0,en,,"['TermLimits', 'Naive', 'corruption', 'liberty', 'ronpaul', 'randpaul', 'aclu', 'eff', 'c4l', 'yal', 'yo']"
09:12:25 04:47:41,XxUppityNegroxX,@Richaun nigga #eff your feeds ((Rick James Voice)),0,0,0,0,en,"Around Jackson, MS ",['eff']
09:12:25 04:30:25,DalwaysWINs,RT @mickeymonday RT @ARYSE3: @margieeeeee hmm we found scrooge: @dalwayswins&lt;&lt;&lt; damn bro lol they goin in on u! #EFF DEM,0,0,0,0,en,"Los Angeles, CA",['EFF']
09:12:24 23:11:00,GotFavor,"RT @Cis4cookii: @True_Sanctuary @GotFavor can yall behave?eh #eff it,i dont care. **#whogonecheckmeboo**",0,0,0,0,en,Cleveland 4 now,"['eff', 'whogonecheckmeboo']"
09:12:24 17:16:56,sarahindie,"I was trying not to get super fat this xmas, but every room has chocolate in it and Mom's buying supplies for cake and eggnog. #eff-it",0,0,0,0,en,Chicago,['eff']
09:12:24 05:20:59,KiaraMeesh,"#Eff Swagg ,My Steez Is On Full Attack.",0,0,0,0,en,"New York, NY",['Eff']
09:12:24 01:51:20,ceeSPUNKY,"live, laugh, love. no, #eff love lol",0,0,0,0,en,"New Jersey, USA",['eff']
09:12:23 22:36:21,LIVEwithBritt,@MadMontey ahahahhaah! #eff dat! reggie a bitch so i dont trust him! ahahahah ssssshhhh hi never said that!,0,0,0,0,en,,['eff']
09:12:23 20:16:07,privacyresearch,An E-Book Buyer's Guide to Privacy http://eff.org/n/9332 #privacy #kindle #nook #ebook #EFF,0,0,0,0,en,"San Francisco, CA","['privacy', 'kindle', 'nook', 'ebook', 'EFF']"
09:12:23 11:27:40,zeevb,Is Facebook a Brand that You Can Trust? http://tinyurl.com/ya232ck #eff #fb,0,0,0,0,en,,"['eff', 'fb']"
09:12:23 03:50:39,jaszybella,Portia jus beat dat ass! I dnt give a #eff natalie talkd all sht. Wat a shame,0,0,0,0,en,U N F U C K W I T A B L E ! ,['eff']
09:12:23 02:11:36,taiwandigital,RT @liza: RT @naypinya: excellent must read post on ereaders and reader privacy from the #EFF - http://bit.ly/5BoZBT,0,0,0,0,en,"Taipei, Taiwan",['EFF']
09:12:23 00:18:40,cecitanaka,"RT @EFF The Internet is global, and so are threats to digital freedom. Support #EFF's International Work! http://eff.org/r.4er",0,0,0,0,en,,['EFF']
09:12:22 22:53:04,benjaminlaird,They know what you’re reading and they might tell the secret police. #EFF eReader buyer’s guide to privacy http://bit.ly/5BoZBT (via @liza),0,0,0,0,en,Celephaïs,['EFF']
09:12:22 19:25:42,iAmKingPhil513,#threewordsforyou - #EFF Christmas traffic!,0,0,0,0,en,"Cincinnati, OH","['threewordsforyou', 'EFF']"
09:12:22 19:01:09,theworkforce,Ran out of gas on the parkway again . I can't handle cars that run on gas I need a solar car or something I can't keep doing this. #eff,0,0,0,0,en,"iPhone: 40.499481,-74.457359",['eff']
09:12:22 17:39:37,alfaqueque,RT @liza: RT @naypinya: excellent must read post on ereaders and reader privacy from the #EFF - http://bit.ly/5BoZBT,0,0,0,0,en,Madrid,['EFF']
09:12:22 17:14:24,remagio,EFF: An E-Book Buyer's Guide to Privacy http://post.ly/FtEf  #eff,0,0,0,0,en,Italy,['eff']
09:12:22 16:45:45,dkbiby,An E-Book Buyer's Guide to Privacy http://eff.org/n/9332 - from #EFF.  Must read for e-book buyers.,0,0,0,0,en,"Annapolis, MD & Charleston, SC",['EFF']
09:12:22 16:41:19,miwie,RT @liza: RT @naypinya: excellent must read post on ereaders and reader privacy from the #EFF - http://bit.ly/5BoZBT,0,0,0,0,en,Berlin,['EFF']
09:12:22 16:13:10,DonLinn,RT @naypinya: excellent must read post on ereaders and reader privacy from the #EFF - http://bit.ly/5BoZBT (via @liza),0,0,0,0,en,"Chicago, IL",['EFF']
09:12:22 15:51:04,LibraryLaw,RT @naypinya: excellent must read post on ereaders and reader privacy from the #EFF - http://bit.ly/5BoZBT,0,0,0,0,en,"Cambridge, MA",['EFF']
09:12:22 15:42:25,susanmpls,They know if you've been good or bad RT @naypinya excellent must read post on ereaders & reader privacy from the #EFF - http://bit.ly/5BoZBT,1,0,0,0,en,Minneapolis,['EFF']
09:12:22 12:20:54,martinsteiger,"Die Polizei und andere wissen, was Du liest – EFF über Datenschutz bei populären amerikanischen E-Book-Readern: http://0x4d.ch/ebp #eff",0,0,0,0,de,Cyberspace 🤖,['eff']
09:12:22 12:04:21,ceeSPUNKY,".. i'm getting sick, #eff",0,0,0,0,en,"New Jersey, USA",['eff']
09:12:22 05:59:52,ceeSPUNKY,@NuJersey_Devil @lauren_patrice.. what's really good with you guys and lips? Like what the #eff,0,0,0,0,en,"New Jersey, USA",['eff']
09:12:21 23:24:09,SouthernBohemia,Awwwww :) chill on the #eff Romo tho. Lol RT @giniV: Congratulations to CarrieUnderwood on her engagement! Yay you! #eff Romo! Lol,0,0,0,0,en,"Atlanta, GA","['eff', 'eff']"
09:12:21 23:17:49,bhavna_says,YAY! Twitter finds a way to make money...but what does that mean for your and your data-mined tweets? [http://bit.ly/71UqmC] #twitter #eff,0,0,0,0,en,"ÜT: 30.327429,-97.705921","['twitter', 'eff']"
09:12:21 15:07:29,SteveClement,#HackerSpaces and the #Law http://blip.tv/file/2949647 #eff #noisebridge Jennifer Granick,0,0,1,0,en,"Toshima-ku, Tokyo","['HackerSpaces', 'Law', 'eff', 'noisebridge']"
09:12:21 03:05:12,NikkiYUP,i reallllly should be sleep right now...but shoot #eff it...no work til the evening hours,0,0,0,0,en,Nikole Austin,['eff']
09:12:21 01:32:37,ImBhump,#eff a # badbitch!!!!ima #bossbitch!!!!!#knodat!!!!!lol,0,0,0,0,en,MEMPHIS TN,"['eff', 'bossbitch', 'knodat']"
09:12:21 00:32:05,YeahThatsWes,Yeah yeah yeah... eff me & yall STILL lose RT @iAmKingPhil513: @silentr3 #eff you brother..,0,0,0,0,en,7 steps away from Heaven & DC,['eff']
09:12:21 00:27:11,iAmKingPhil513,@silentr3 #eff you brother..,0,0,0,0,en,"Cincinnati, OH",['eff']
09:12:20 23:27:00,imkbrad,@JBeauty i am a fan i just always make jokes with my family n old roommate that the Eagles find a way to #eff up everytime whether its a,0,0,0,0,en,,['eff']
09:12:20 20:37:24,NotMeCharles,#DHS being naughty - #EFF http://bit.ly/8pPQDr,0,0,0,0,en,"Accra, Fargo, Abuja, Earth, WI","['DHS', 'EFF']"
09:12:20 19:01:10,Jias_Way,who the #eff is Brittany Murphy???,0,0,0,0,en,M.I.A.,['eff']
09:12:20 14:37:06,SteveClement,#FaceBook #Privacy #fiasco #EFF http://www.eff.org/deeplinks/2009/12/facebooks-new-privacy-changes-good-bad-and-ugly,0,0,0,0,qme,"Toshima-ku, Tokyo","['FaceBook', 'Privacy', 'fiasco', 'EFF']"
09:12:20 05:51:44,TCOT_Talk,RT @curtissthompson ACLU Tells High School To Allow Students To Protest ACLU: http://digg.com/d31DLp9?t #aclu #eff #c4l #yal #tlot #tcot ..,0,0,0,0,en,,"['aclu', 'eff', 'c4l', 'yal', 'tlot', 'tcot']"
09:12:20 05:44:12,Halibutron,"RT @DrSomebody #Facebook's New #Privacy Changes: The Good, The Bad, and The Ugly #EFF http://bit.ly/4AqoRe",0,0,0,0,en,Toronto Tokyo Gilead SriLanka,"['Facebook', 'Privacy', 'EFF']"
09:12:20 04:50:58,ColderThanBlue,"RT @BrittanySDavis: MY 8000TH TWEET IS DEDICATED TO THE #SAINTS! #WHODAT #EFF ERRBODY THATS A #SAINTHATER! YES,IM TLKING TO U!&gt; rotflmfao!",0,0,0,0,en,,"['SAINTS', 'WHODAT', 'EFF', 'SAINTHATER']"
09:12:20 04:48:44,LIVEwithBritt,"MY 8000TH TWEET IS DEDICATED TO THE #SAINTS! #WHODAT #EFF ERRBODY THATS A #SAINTHATER! YES,IM TLKING TO U!",0,0,0,0,en,,"['SAINTS', 'WHODAT', 'EFF', 'SAINTHATER']"
09:12:19 21:45:26,JoeBosley,The Republicans should filibuster the healthcare vote by reading the actual bill. Now that's efficiency. #screwed #2.5trillion #deficit #eff,0,0,0,0,en,"Tampa, FL/Oklahoma City","['screwed', 'deficit', 'eff']"
09:12:19 19:00:13,LIVEwithBritt,"RT @R_0_b_e_r_T @BrittanySDavis that doesn't change the time dumbass #fakesaintsfan( #eff u,idk y I'm explaining myself to ur #loser ass :-)",0,0,0,0,en,,"['fakesaintsfan', 'eff', 'loser']"
09:12:19 18:59:24,LIVEwithBritt,@djamphi idc! me and reggie are broken up today! so #eff u and him! #hellerrrr,0,0,0,0,en,,"['eff', 'hellerrrr']"
09:12:19 14:49:08,Jasonisbk,"@JOHNNYMISKEEN ight, we gonna get it in. *Shit im not hitting not club up tonight? #eff this weather",0,0,0,0,en,"ÜT: 40.720154,-73.992998",['eff']
