Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
09:07:18 20:13:03,ontobelli,RT @EMarchita Se rechaza la existencia de vocerías. #anc,0,0,0,0,es,Pareidolia,['anc']
09:07:18 20:12:58,andreslajous,Receso para comer #anc !,0,0,0,0,es,Ciudad de México,['anc']
09:07:18 20:12:35,ontobelli,RT @EMarchita Se vota si se aceptan la existencia de secretarías técnicas que realicen labores de apoyo. No se aceptaron. #anc,0,0,0,0,es,Pareidolia,['anc']
09:07:18 20:12:15,ontobelli,RT @EMarchita Se procede a la primera votación. Aprobado un órgano nacional que sea horizontal que dé sentido al movimiento. #anc,0,0,0,0,es,Pareidolia,['anc']
09:07:18 20:11:48,EMarchita,Se aprueba que se genera un boletín de prensa consensuado por todos al final de la #anc. Se levanta la sesión. Hora de comida.,0,0,0,0,es,México,['anc']
09:07:18 20:11:14,jockravez,RT @jockravez: RT @EMarchita: RT @jmtomasena Red o frente? #votonulo #anc | RED!,0,0,0,0,en,Everywhere but home,"['votonulo', 'anc']"
09:07:18 20:11:03,jockravez,RT @EMarchita: RT @jmtomasena Red o frente? #votonulo #anc 1,0,0,0,0,en,Everywhere but home,"['votonulo', 'anc']"
09:07:18 20:10:53,EMarchita,Se rechaza la existencia de vocerías. #anc,0,0,0,0,es,México,['anc']
09:07:18 20:09:41,EMarchita,Se pone a votación si habrá o no vocería o vocerías. #anc,0,0,0,0,es,México,['anc']
09:07:18 20:09:15,EMarchita,RT @jmtomasena Red o frente? #votonulo #anc,0,0,0,0,en,México,"['votonulo', 'anc']"
09:07:18 20:08:33,EMarchita,RT @ontobelli La misión voto nulo organizado debe ser mejorar democracia y representatividad y eso incluye la organización interna. #ANC,0,0,0,0,es,México,['ANC']
09:07:18 20:06:49,jmtomasena,Red o frente? #votonulo #anc,0,0,0,0,en,"Barcelona, España","['votonulo', 'anc']"
09:07:18 20:06:44,ontobelli,La misión del voto nulo organizado debe ser mejorar la democracia y la representatividad y eso incluye la organización interna. #ANC,0,0,0,0,es,Pareidolia,['ANC']
09:07:18 20:05:01,EMarchita,Hey #ElEnjambre Siento que se está manteniendo una buena participación en #anc  (ElEnjambre live &gt; http://ustre.am/4bsh),0,0,0,0,es,México,"['ElEnjambre', 'anc']"
09:07:18 20:02:59,EMarchita,"No, no lo creo. @Othaner Nos estamos convirtiendo en un partido político? #anc",0,0,0,0,es,México,['anc']
09:07:18 20:02:32,jockravez,RT @Othaner: Nos estamos convirtiendo en un partido político? #anc,0,0,0,0,es,Everywhere but home,['anc']
09:07:18 20:01:14,ontobelli,No se trata de organizare una confederación de ONG's sino un movimiento CIUDADANO DIVERSO con objetivos comunes. #ANC,0,0,0,0,es,Pareidolia,['ANC']
09:07:18 20:01:00,EMarchita,Se discute si debe haber voceros del movimiento. #anc,0,0,0,0,es,México,['anc']
09:07:18 20:00:10,EMarchita,Se vota si se aceptan la existencia de secretarías técnicas que realicen labores de apoyo. No se aceptaron. #anc,0,0,0,0,es,México,['anc']
09:07:18 19:59:45,ontobelli,"El núcleo del movimiento deben ser los ciudadanos, no las organizaciones, de otra forma no lograrán atraer a los independientes. #ANC",0,0,0,0,es,Pareidolia,['ANC']
09:07:18 19:59:12,RomanCotera,RT:@EMarchita Se procede a la primera votación. Aprobado un órgano nacional que sea horizontal que dé sentido al movimiento. #ANC *,0,0,0,0,es,"Veracruz, México",['ANC']
09:07:18 19:57:20,EMarchita,Se procede a la primera votación. Aprobado un órgano nacional que sea horizontal que dé sentido al movimiento. #anc,0,0,0,0,es,México,['anc']
09:07:18 19:56:16,ontobelli,"RT @EMarchita He visto a varios reporteros presentes en la #anc, pero no he visto que algún medio esté siguiéndola en internet o twitter.",0,0,0,0,es,Pareidolia,['anc']
09:07:18 19:54:44,jmtomasena,Organización centralizada o en red? Esa es la cuestión que se debate. #votonulo #anc,0,0,0,0,es,"Barcelona, España","['votonulo', 'anc']"
09:07:18 19:54:09,ontobelli,"No hace falta reinventar el hilo negro, se puede buscar un representante distrital para el voto nulo, así habrá cercanía con bases #ANC",0,0,0,0,es,Pareidolia,['ANC']
