Datetime,Text,Username,Retweets,Location,Hashtags
17:12:31 15:12:48,Here is a story of perseverance to end the year on a high note: a residents journey to get registered - https://t.co/eS1ajvyawc #MillionVoterRising #vote.,WFRising,4,Whitefield Bangalore,"['MillionVoterRising', 'vote']"
17:12:31 15:11:47,"Day 11: Truce

In your most apologetic voice, you appeal to the ildera explaining the situation. She lumbers toward you and gives you a bag. Sternly, she tells you to go home, this area is too dangerous.  

#tabletop #rpg #d20 #adventure #explore #poll #vote #dnd #Zeadventure",StarcalledStudi,0,Vathis,"['tabletop', 'rpg', 'd20', 'adventure', 'explore', 'poll', 'vote', 'dnd', 'Zeadventure']"
17:12:31 15:04:37,Motion 5: #WUDC #WUDC2018 #debate #Politics #vote #mexico #mexicocity #skill #publicspeaking #motivation https://t.co/L0JWI9nD6w,TheDebateC,0,,"['WUDC', 'WUDC2018', 'debate', 'Politics', 'vote', 'mexico', 'mexicocity', 'skill', 'publicspeaking', 'motivation']"
17:12:31 15:00:52,"He don't *uck with u either. Instead of giving corp tax cuts he should focused on #wages, #infastructure #education. None of which will happen now. Bc h
The gov ""broke"" @HouseGOP @realDonaldTrump shame on y'all.  #2018 #Millennials #vote #termlimits @SenateGOP ppl over 75 Bye! https://t.co/WnHQKjnnH7",JessOnPurpose03,0,,"['wages', 'infastructure', 'education', 'Millennials', 'vote', 'termlimits']"
17:12:31 14:59:26,Here are the Republicans retiring from Congress in 2018 #sundaymotivation on #SundayMorning #NewYearResolution to #VoteOutGOP https://t.co/4oSXvvnmag Go to this link and #registernow. If you are a #Voter send the link to your friends and family.... #vote https://t.co/dXxcdo1l5u,JimKilbane,8,"Cleveland, OH","['sundaymotivation', 'SundayMorning', 'NewYearResolution', 'VoteOutGOP', 'registernow', 'Voter', 'vote']"
17:12:31 14:53:54,"You can now vote for “We Made That Our Home (ft. el cub)” on @SpinninRecords Talent Pool. Show some love and cast your vote! #EDM #Deephouse #vote #AMAs #Dance
https://t.co/ggFiSgm5sn https://t.co/pgpYhoN7Zw",TIMTMMusic,0,"PITTSBVRGH, PA","['EDM', 'Deephouse', 'vote', 'AMAs', 'Dance']"
17:12:31 14:53:26,Vote people!!! Im also planning on doing some sort of upload schedule in the future. #vote #gamerdad #beardedgamer #gamingchannel #smallyoutuber https://t.co/bXsdTewSba,Stayathomegamin,0,"Iowa, USA","['vote', 'gamerdad', 'beardedgamer', 'gamingchannel', 'smallyoutuber']"
17:12:31 14:52:41,Make your New Years resolution to get every republican/GOP leader out of office  #NewYearsEve2018 #HappyNewYearEve #Vote #NewYearsEve #2018 #NewYearsResolutions,kay2freya00,1,"Indianapolis, IN","['NewYearsEve2018', 'HappyNewYearEve', 'Vote', 'NewYearsEve', 'NewYearsResolutions']"
17:12:31 14:52:26,Voy for @raiblocks to be listed on Binance! VOTING ends Jan 5th! Here's the link to go vote! https://t.co/2NocQMukBJ #XRB #Vote,BePenAloe,0,"New York, USA","['XRB', 'Vote']"
17:12:31 14:52:09,"@kylegriffin1 As @BarackObama famously said:

Don’t boo, #vote! 🗽 🇺🇸",HTFIII,0,"White Plains, NY",['vote']
