Text,Datetime,Location,Hashtags
fake polls researches peddled around anc losing election 2019 ndz wins anc presidency fake polls nothing propaganda tool help prop support billionaire candidate preferred billionaire friends,17:12:12 13:45:38,South Africa,"['ANC', 'NDZ']"
anc votesforcash,17:12:12 13:31:54,south africa,"['ANC', 'Votesforcash']"
markets look forward fed rate decision tomorrow domestic traders likely fence anc party leader election weekend investing jse,17:12:12 09:53:51,Cape Town,"['ANC', 'investing', 'JSE']"
inevitable particularly zuma dynasty steal election ancthe host needs die order leeches drop resurrect cleansing,17:12:12 09:24:52,South Africa,"['Zuma', 'ANC']"
update application nullify anc eastern cape pec dismissed ancpresidentialelection electiveconference anc pec oscarmabunyane ecchairperson phumulomasualle cyrilramaphosa,17:12:12 09:02:14,South Africa,"['ANCPresidentialElection', 'ElectiveConference', 'ANC', 'PEC', 'OscarMabunyane', 'ECChairperson', 'PhumuloMasualle', 'CyrilRamaphosa']"
going support team womanizers coming anc elections think imagine future would create nation ramaphosaleaks gwedeuncleclit gwedesexscandal gwedeblesser gwedemantashe sugardaddy,17:12:12 08:17:17,South Africa,"['Womanizers', 'ANC', 'nation', 'Ramaphosaleaks', 'GwedeUncleClit', 'GwedeSexScandal', 'GwedeBlesser', 'GwedeMantashe', 'SugarDaddy']"
anc delegates voting either nkosazana dlamini zuma cyril ramaphosa leader anc government ancconference anc54 ancec politics anc,17:12:12 05:12:24,"Johannesburg, South Africa","['government', 'ANCConference', 'ANC54', 'ANCEC', 'southafrica', 'politics', 'anc']"
personally strongly believe leadership trust youve ambition passions take ought woman vote deputy president anc leadership cr17,17:12:12 03:39:21,South africa ,"['SA', 'ANC', 'CR17']"
care anc provincial levels voted come 2019 elections ancfs,17:12:11 21:15:30,Midrand ,"['ANC', 'ANCFS']"
air votebuying anc become concern last week deputy president cyril ramaphosa said hearing stories members approached money cars joined political analyst professor dstv 403,17:12:11 17:33:51,South Africa,"['ANC', 'Ramaphosa', 'DStv']"
crap anc lied stolen trillions voters even stole dead mandela,17:12:11 17:22:48,"Johannesburg, South Africa",['ANC']
anc doesnt vote gwede top 6 theyll wasting time,17:12:11 17:07:43,"Vosloorus , South Africa",['ANC']
anc biggest mistake would elect ndz17 ndz president presidential candidate come national anc hope know hope works coz south africans wont vote anc come 2019 theyll governing party trust,17:12:11 13:12:16,"East London, South Africa ","['NDZ17', 'NDZ', 'ANC']"
application stop dlaminizuma selected anc president upcoming elections must support candidate capable hold presidency ramaphosa always thinks loot sell whites support ndz,17:12:11 13:09:27,"Johannesburg, South Africa","['DlaminiZuma', 'ANC', 'Ramaphosa', 'NDZ']"
ramaphosa maybe leading nominations race anc president chair currently delegates going vote upcoming conference ndz certainly going upper hand,17:12:11 12:19:27,South Africa,"['Ramaphosa', 'ANC', 'NDZ']"
getting dirtier dirtier inherent anc problem fighting little piece power influence really focusing service delivery every level elections really pathetic honest,17:12:11 11:12:45,"Johannesburg, South Africa",['ANC']
ramaphosa master plan divide anc using wmc money bribe faction dishonest province branch delegates novoteramaphosa ramapussy wmcstooges savesa newage sm,17:12:11 10:20:35,South Africa,"['Ramaphosa', 'ANC', 'WMC', 'bribe', 'NoVoteRamaphosa', 'Ramapussy', 'WmcStooges']"
going impossible anc pull successful 2019 election campaign ancfs ndz,17:12:11 09:49:28,"Johannesburg, South Africa","['ANC', 'ANCFS', 'NDZ']"
voting anc come 2019 leading presidential anc candidate favour minority party must expect vote,17:12:11 09:12:32,"Temba, South Africa",['ANC']
wmcpaidmedia spreading fake propaganda like virus nation wmcstooge contesting presidency novoteramaphosa ramaphosaleaks paradiseleaks marikanamassacre wmcs propaganda thepresidentkeepers push cr17 anc leader leroux,17:12:11 07:54:37,South Africa,"['WMCPAIDMEDIA', 'FAKE', 'Nation', 'WMCstooge', 'NoVoteRamaphosa', 'RamaphosaLeaks', 'Paradiseleaks', 'MarikanaMassacre', 'WMC', 'ThePresidentKeepers', 'CR17', 'ANC']"
lee challenges anc neverwillwevoteancagain,17:12:10 21:21:23,johannesburg,"['ANC', 'NeverWillWeVoteANCAgain']"
anc parked bus culdesac runout intellectual moral fuel time move dump nostalgia care form party contest elections 2019 polls suggest,17:12:10 19:54:15,South Africa,"['ANC', 'SouthAfrica']"
also bad mouths anc votes,17:12:10 09:16:53,South Africa,['ANC']
mandelafuneral poor stop voting anc party treats utter contempt uses merely voting fodder world politically poor,17:12:10 08:23:41,"Cape Town, South Africa","['MandelaFuneral', 'ANC']"
tcafrica eight black holes account approximately 2000 discrepancy anc election,17:12:10 07:39:04,South Africa,['ANC']
eight black holes account approximately 2000 discrepancy anc election,17:12:10 07:35:55,"Johannesburg, South Africa",['ANC']
ndz another one living alternate universe whole country consists anc stemvee itching make mark 2019elections anc may well win election sure wont easy wide margin past,17:12:10 06:46:38,"Cape Town, South Africa","['NDZ', 'ANC', 'stemvee', '2019Elections']"
enough money grow economy problem greed enrich taking others ndz17 takes anc breaks rule put utat zuma know forcing us vote anc2019,17:12:10 06:16:37,South Africa,"['NDZ17', 'ANC', 'ANC2019']"
anc54 anc election fight two ideologies dlaminizuma ret ramaphosa wmc deal ndz17 cr17 ramaphosaleaks,17:12:10 04:44:00,South Africa,"['ANC54', 'ANC', 'DlaminiZuma', 'RET', 'Ramaphosa', 'NDZ17', 'CR17', 'RamaphosaLeaks']"
coopted voted members baleka motlanthe time anyway tweet anc president leading structure within party,17:12:09 22:27:21,"Moletjie,Midrand,South Africa",['ANC']
