Text,Datetime,Location,Hashtags
corrupt captured zumas anc must fall stealing poor wasting sans hard earned money change2019 voteda savesa ancmustfall zumasmustfall guptasmustfall corruptionmustfall nuclearmustfall poverty joblosses crime junkstatus,17:12:01 08:10:51,South Africa,"['CORRUPT', 'Captured', 'ZumaS', 'ANC', 'Stealing', 'Poor', 'SAns', 'Change2019', 'VoteDA', 'SaveSA', 'ANCmustFALL', 'ZumaSmustFALL', 'GuptasMustFall', 'CorruptionMustFall', 'NuclearMustFall', 'poverty', 'Joblosses', 'crime', 'junkstatus']"
zuma promised many things many people gain votes people still trust zumas anc see daily abuse sans hard earned money selfish greedy ways vote anc u complain abt crime poverty joblosses inflation,17:12:01 08:07:55,South Africa,"['Zuma', 'ZumaS', 'ANC', 'Abuse', 'SAns', 'Selfish', 'Greedy', 'ANC', 'CRIME', 'Poverty', 'Joblosses', 'inflation']"
anc gonna carry project building 6million rand graveyard metsimaholo anc byelections,17:12:01 08:06:50,South Africa ,"['Metsimaholo', 'ANC', 'By_Elections']"
commission enquiry antitranformation court rulings need established sabcmultichoice eskom ancelections statecapture municipalinstability,17:12:01 08:00:05,South Africa,"['sabc', 'eskom', 'ANC', 'state', 'Municipal']"
anc hopes eff vote getting rid hermanmashaba,17:12:01 07:27:55,"Vosloorus , South Africa","['ANC', 'EFF', 'HermanMashaba']"
anthony rural votes may sustain anc elections2019 otherwise see reason alive beyond 2019,17:12:01 06:46:07,"MIDRAND,SOUTH AFRICA","['ANC', 'elections2019']"
people jimmy voted da eff representatives parties realized anc involved corruption self enrichment programs therefore made call viva democracy viva,17:12:01 06:18:35,"Cape Town, South Africa","['DA', 'EFF', 'ANC', 'CORRUPTION', 'democracy']"
people jimmy voted da eff representatives parties realized anc involved corruption self enrichment programs therefore made call viva democracy viva,17:12:01 06:15:39,"Cape Town, South Africa","['DA', 'EFF', 'ANC', 'CORRUPTION', 'democracy']"
past cannot denied last twenty years also made dismal mark history rather focus blame race call anc mps account use vote 2019 make mark call change nomorecorruption,17:12:01 05:53:53,South Africa,"['ANC', 'NoMoreCorruption']"
interesting good see shift left expected poverty inequality grows people vote increasingly left eff da anc da smalema,17:12:01 05:32:51,South Africa,"['EFF', 'DA', 'ANC']"
todays cartoon bethuel mangena handsoffmashaba handsofftrollip eff anc da noconfidencevote news,17:12:01 04:19:39,South Africa,"['HandsOffMashaba', 'HandsOffTrollip', 'EFF', 'ANC', 'DA', 'noconfidencevote']"
handsoffmashaba see anc taking back joburg metroexcept rigging votes anc bad state denialit commit suicide sooner anticipated,17:12:01 03:27:30,"MIDRAND,SOUTH AFRICA","['HandsOffMashaba', 'ANC']"
hermanmashaba thanked eff voting anc motion multiparty government would signal beginning city johannesburg,17:12:01 03:04:58,Midrand,"['HermanMashaba', 'EFF', 'ANC']"
hermanmashaba thanked eff voting anc motion multiparty government would signal beginning city johannesburg,17:12:01 03:04:58,"Pretoria, South Africa","['HermanMashaba', 'EFF', 'ANC']"
back home free state never anc would win local elections opposition parties would want votes recounted iec anc,17:11:30 21:22:41,"Street le kid, South Africa","['IEC', 'ANC']"
politics aside never voted da wont say voted actually last elections first time voted ever note sad today use rhetoric people townships suffered years anc liberation party handsoffmashaba,17:11:30 20:12:54,Cape Town,"['ANC', 'HandsOffMashaba']"
whilst eff hitherto ancs achilles heel amongst voters metsimaholo today shows vulnerable party sacps exit potentially overall majority 2019,17:11:30 20:07:30,"Cape Town, South Africa","['EFF', 'ANC', 'Metsimaholo', 'SACP']"
dear sacan time us stand 2gether n vote anc govt theyre bettr govt jhb good govtnmb good govt fighting remove mayorswith anc poor become poorer rich become richer call mzansi regards,17:11:30 20:03:49,"Soweto, South Africa",['ANC']
metsimaholo byelections results whole municipality one ward send shivers anc anc 346 da 279 eff 191 sacp 87 even townships anc got anc 45 eff 25 sacp 12 da 8 embarrassing anc free state leadership,17:11:30 19:16:49,South Africa,"['Metsimaholo', 'ANC']"
mashaba survives noconfidence vote jhb ditto trollip nmb bad anc also fared badly metsimaholo byelections,17:11:30 18:05:20,South Africa,"['Mashaba', 'ANC', 'Metsimaholo']"
disappointed behaviour udm today motion working anc one trust really want sell voters willdont regret 2019 coming voters watching,17:11:30 17:51:52,"Soweto, South Africa","['UDM', 'Anc']"
anc life supportafter losing sasolburg economic hup ofs n losing jhbamppe vote confidence anc must fall,17:11:30 16:07:22,midvaal,['ANC']
effs vena says andile lungisa promised going bring pop star somewhere ate r2 mill art culture currently facing criminal charges nmbcouncilvote eff anc da,17:11:30 14:37:55,South Africa,"['nmbcouncilvote', 'EFF', 'ANC', 'DA']"
poll think anc national elective conference affected legal challenges vote,17:11:30 12:04:48,"Durban, South Africa","['POLL', 'ANC', 'VOTE']"
anc done daddy call forever curse timomotoso man fight lord instead gaining votes losing da taking,17:11:30 11:59:23,"Cape Town, South Africa","['ANC', 'TimOmotoso', 'DA']"
rt cohen nb byelection unfolding metsihaholo projects anc gets thumped da holds 12,17:11:30 11:52:06,Johannesburg ,"['metsihaholo', 'ANC']"
nb byelection unfolding metsihaholo projects anc gets thumped da holds eff sacp v well blows away assumption eff peaked sacp cannot win votes eg iketsetseng school anc 37 201469 eff 37 15 sacp 14 da 7 10,17:11:30 11:31:02,"The Karoo, South Africa","['metsihaholo', 'ANC', 'EFF', 'SACP', 'EFF', 'SACP']"
although anc vote whopping 10 metsimaholo ward also clear different dynamics play whilst overall swing away anc make worry 2019 always note swings always consistent look da growth,17:11:30 11:01:24,"Cape Town, South Africa","['Metsimaholo', 'ANC', 'DA']"
paralysis grips south africa government anc facing election,17:11:30 10:58:09,"Johannesburg, South Africa",['ANC']
anc lost jozi fair square elections wanna get jozi via backdoors leanya goooed handsoffmashaba eff da,17:11:30 10:20:19,"Pretoria, South Africa","['ANC', 'HandsOffMashaba', 'EFF', 'DA']"
eff sacp scoring anc splinters metsimaholo remember voting blocks largely anti brandzuma also presuccession message anc elective conference delegates,17:11:30 10:03:49,"Cape Town, South Africa","['EFF', 'SACP', 'ANC', 'Metsimaholo']"
thiscorruption shud b cut tail branches head anc serious self correct n masses tht voted fr,17:11:30 09:21:40,"Johannesburg, Alexander ","['ANC', 'Voted']"
good wednesday anc lost election ifp kzn could lose metsimaholo eff coalition fs people spoken,17:11:30 09:17:13,South Africa,"['ANC', 'IFP', 'Metsimaholo', 'EFF']"
malema feel fact anc gauteng wanted votes secret tell us something malema trusted corrupt loves money much zumas,17:11:30 09:14:02,South Africa,"['Malema', 'ANC', 'Malema', 'Corrupt', 'Zumas']"
heres whats interesting metsimaholo byelections occurred advance succession sacp supports ramaphosa eff dislikes ndz sacp eff well anc zuma weakened message voters feel succession,17:11:30 09:07:32,"Cape Town, South Africa","['Metsimaholo', 'Ramaphosa', 'EFF', 'SACP', 'ANC']"
since zuma every election anc keeps losing ground splinter groups cope eff sacp metsimaholo,17:11:30 09:07:00,"Polokwane, South Africa","['ANC', 'Metsimaholo']"
goodness anc taking hammering metsimaholo check drop anc vote 70 44 ward eff gaining da pretty static big gap changeparty plays cards right,17:11:30 08:51:43,South Africa,"['ANC', 'Metsimaholo', 'ANC', 'EFF', 'DA', 'ChangeParty']"
anc battling metsimaholo vote lot describe collapse,17:11:30 08:40:27,South Africa,['ANC']
strategic victory sacp prove worth anc alliance worth controlling 50 vote least result metsimaholo,17:11:30 08:25:15,"Cape Town, South Africa","['SACP', 'ANC', 'Metsimaholo', 'SouthAfrica']"
da vote holds reasonably well suburban vote metsimaholo anc suffering average swings 16 opposition much swing going sacp proving worth alliance eff also enjoying greater gains da township vote,17:11:30 08:16:16,"Cape Town, South Africa","['DA', 'Metsimaholo', 'ANC', 'SACP', 'EFF', 'DA']"
might bad blood da eff dont think vote us favor corrupt anc,17:11:30 07:49:12,"Durban, South Africa",['ANC']
anc version service delivery voters cabinet ministers mayors argue second car want,17:11:30 07:48:19,South Africa,['ANC']
anc choose whoever like president voter last say election2019,17:11:30 07:17:58,South Africa,"['ANC', 'Election2019']"
sacp finally woken reality anc rigging elections since 1999 opposition parties mustnt let slide otherwise happen 2019 metsimaholo,17:11:30 07:14:21,South Africa,"['SACP', 'ANC', 'Metsimaholo']"
daled coalition faces biggest test yet parties seek trollips head eff holding deciding vote gtgt dacoalition nmbcouncil portelizabeth politics anc,17:11:30 06:42:06,"Port Elizabeth, South Africa","['DA', 'EFF', 'DACoalition', 'NMBCouncil', 'portelizabeth', 'politics', 'ANC']"
know r100 billion taken away anc cronies august elections ensuring access loot billlions monc want access safe handsoffdagama handsoffmashaba handsofftrollip,17:11:30 06:40:28,Cape Town,"['ANC', 'MONC', 'HandsOffDaGama', 'HandsOffMashaba', 'HandsOffTrollip']"
eff never vote rural corrupt party whose rule turned junkbillions leaving country ilicitly anc must fall,17:11:30 06:22:52,midvaal,['ANC']
byelections overnight free state e cape kzn point clear voter swings variety opposition parties including eff udm ifp expense anc mention solid showing sacp,17:11:30 04:57:15,"Cape Town, South Africa","['SouthAfrica', 'EFF', 'UDM', 'IFP', 'ANC', 'SACP']"
chaos threatens key leadership vote anc,17:11:29 18:39:19,South Africa,"['leadership', 'ANC']"
watershed moment sacp jettisons anc historic headtohead metsimaholo byelections,17:11:29 15:59:56,South Africa,"['SACP', 'ANC', 'Metsimaholo', 'byelections']"
vote confidence trolip ngomso news covering thisnowmc always present bay metro eff anc da udm,17:11:29 15:17:52,"Azania, South Africa","['eff', 'anc', 'da', 'udm']"
icymi david vs goliath battle metsimaholo byelection sacpvsanc sacp anc,17:11:29 14:40:11,South Africa,"['SACPvsANC', 'SACP', 'ANC']"
anc free state nomination taste continued quality one expect ruling party vote change april2019,17:11:29 13:47:41,Johannesburg,"['anc', 'april2019']"
icymi david vs goliath battle metsimaholo byelection sacpvsanc sacp anc,17:11:29 12:36:29,South Africa,"['SACPvsANC', 'SACP', 'ANC']"
smalema vote anc remove mashaba,17:11:29 12:27:00,South Africa,['ANC']
dlaminizuma support free state anc picks nkosazana dlaminizuma president ndz17 vote ret supportret education employment stopcorruption development growth newage,17:11:29 12:14:11,South Africa,"['DlaminiZuma', 'ANC', 'DlaminiZuma', 'NDZ17', 'Vote', 'RET', 'SupportRET', 'Education', 'Employment', 'StopCorruption', 'Development', 'Growth']"
smalema vote anc remove mashaba sm savesa newage,17:11:29 11:57:49,South Africa,"['ANC', 'Mashaba']"
yet another court rules anc branch meetings unlawful multiple rulings like multiple provinces makes vote rigging speculation thepresidentskeepers seem farfetched,17:11:29 11:42:57,"Johannesburg, South Africa","['ANC', 'ThePresidentsKeepers']"
coming anc freestate elective conference cannot go ahead minister desvanrooyen chased voting station metsimaholo sabcnews,17:11:29 11:04:53,"Durban, South Africa","['ANC', 'FreeState', 'DesVanRooyen', 'SABCNews']"
anc expects support eff noconfidence vote mashaba da gama hermanmashaba,17:11:29 11:02:19,South Africa,"['ANC', 'EFF', 'HermanMashaba']"
poll anc conduct review bee vote share thoughts us,17:11:29 09:52:19,"Durban, South Africa","['POLL', 'ANC', 'BEE', 'Vote']"
dear poor people vote us anc see living need stay power maintain lifestyle anc metsimaholo,17:11:29 07:54:30,"Johannesburg, South Africa","['ANC', 'Metsimaholo']"
eff also got transportation tactic anc getting services local taxies transport elderly citizens voting stations,17:11:29 07:36:58,South africa,"['EFF', 'ANC']"
mainstream media demonstrated bulwarks democracy article pose question many us asking eff going suppoa vote confidence mashaba would serve reinstate corrupt anc jozi countryduty,17:11:29 07:29:34,"Johannesburg, South Africa","['ANC', 'CountryDuty']"
anc still services several local taxies transporting elderly citizens voting stations,17:11:29 07:29:27,South africa,['ANC']
major battle brewing bay three press conferences anc da smaller parties within two hours today thats ahead tomorrows vote confidence trollip interesting,17:11:29 06:56:36,"Port Elizabeth, South Africa","['ANC', 'DA', 'Trollip']"
anc sacp going head head metsimaholo today voting started cm,17:11:29 06:05:16,South Africa,"['ANC', 'SACP', 'Metsimaholo']"
residences already standing queues metsimaholo cast votes votes election pitted anc sacp one another first time history,17:11:29 05:37:34,South africa,"['Metsimaholo', 'ANC', 'SACP']"
gone victory dlaminizuma numbers side ndz gonna take anc conference next month supportdlaminizuma ndz17 vote ret u agree spread much possible,17:11:29 04:50:16,South Africa,"['DlaminiZuma', 'NDZ', 'ANC', 'SupportDlaminiZuma', 'NDZ17', 'Vote', 'RET']"
ancfs chairman ace magashule personally ushering people pgc showing comfortable among ancfs voting delegates going anc national conference,17:11:28 14:35:19,"Johannesburg, South Africa","['ANCFS', 'PGC', 'ANCFS', 'ANC']"
ooh comes anc people informedwe rights dont try things next election,17:11:28 13:24:09,South Africa,['ANC']
poll anc done enough promote social cohesion vote,17:11:28 10:24:38,"Durban, South Africa","['POLL', 'ANC']"
election sacp go coalition anc metsimaholo,17:11:27 22:10:43,Cape Town,"['SACP', 'ANC', 'Metsimaholo']"
would people want vote anc caliber quality people stop using strugglecredentials employdeploy people real knowledge experience leadership skills,17:11:27 19:51:16,"Johannesburg, South Africa","['ANC', 'strugglecredentials']"
balekambete really believes gonna win anc presidential election quite literally delusional point win covering zuma 702townhall,17:11:27 19:47:10,Johannesburg,"['BalekaMbete', 'ANC', 'Zuma', '702TownHall']"
analysis anc leadership election plan bold move little real significance stephen grootes,17:11:27 17:12:02,South Africa,['ANC']
anc used taxpayers money produce electioneering material conducting municipal leases enquiry rid city syndicates may cheating system keepmakingprogressnmb,17:11:27 15:46:49,"Western Cape, South Africa","['ANC', 'KeepMakingProgressNMB']"
sasolburg bielections watch special assignment sabc 3 tonight 2100 time 1900 gmt anc da eff sacp mca,17:11:27 15:37:01,South Africa,"['SABC', 'ANC', 'DA', 'EFF', 'SACP', 'MCA']"
watch special assignment 9pm conversation anc sacp metsimaholo local municipality bielections free state,17:11:27 14:34:56,South Africa,"['ANC', 'SACP']"
press well done vote cos im tired ancs stealing das moaning effs jokes ifps wars every political party talks marches sings dances throws poo current lives conditions matter folks turning comedy,17:11:27 14:31:43,"Johannesburg, South Africa","['Anc', 'DA', 'Eff', 'IFP']"
frustrating indeed current anc leaders accountability actions goodbyetomyvote,17:11:27 13:19:55,South Africa,"['ANC', 'Goodbyetomyvote']"
thisisafricatia fixating removal mugabe zuma mistake zanupf must voted anc must either completely reform suffer electoral defeat south africa hopes recover rotten president,17:11:27 13:12:08,South Africa,"['Mugabe', 'Zuma', 'ANC']"
poll anc enough address patriarchy society genderbased violence vote 16days 16daysofactivism2017 16daysofactivism 16days2017,17:11:27 10:47:23,"Durban, South Africa","['POLL', 'ANC', 'patriarchy', '16days', '16DaysofActivism2017', '16daysofactivism', '16Days2017']"
analysis anc leadership election plan bold move little real significance stephen grootes,17:11:27 10:25:03,South Africa,['ANC']
nkosasana nuts votes already counted hope former anc sliding fast anything possible zuma involved,17:11:27 08:48:27,South Africa,"['Nkosasana', 'ANC', 'Zuma']"
dont miss special assignment monday 27 november 2100 conversation anc sacp metsimaholo local municipality bielections free state,17:11:27 07:58:37,South Africa,"['ANC', 'SACP']"
could start something slate voting anc conference,17:11:27 06:14:27,Johannesburg,['ANC']
analysis anc leadership election plan bold move little real significance stephen grootes,17:11:27 06:06:01,South Africa,['ANC']
analysis anc leadership election plan bold move little real significance stephen grootes,17:11:27 04:33:03,South Africa,['ANC']
acid test anc presidential hopefuls willing sign legally binding contract appropriate warranties underwrite election promises people 1 end poverty 2 implement ret 3 fund free education ndz vs ramaphosa,17:11:27 03:08:54,South Africa,"['ANC', 'RET', 'NDZ', 'Ramaphosa']"
analysis anc leadership election plan bold move little real significance stephen grootes,17:11:26 23:47:46,South Africa,['ANC']
numbers side dr nkosazanadlaminizuma ndz take african national congress anc elective conference next month ret supportret ndz17 vote sm,17:11:26 17:04:22,South Africa,"['NkosazanaDlaminiZuma', 'NDZ', 'African', 'National', 'Congress', 'ANC', 'RET', 'SupportRET', 'NDZ17', 'Vote']"
people love want status unemployment poverty inequality accept reality dlaminizuma become anc president december election 2017 hanekom,17:11:26 17:02:47,South Africa,"['SA', 'DlaminiZuma', 'ANC']"
amazing cheaply anc votes bought guptas enjoy,17:11:26 15:27:45,South Africa,['ANC']
makhosikhoza launches changeparty contest 2019 elections reckon well ramaphosa loses well wins next month places eff da main damage anc,17:11:26 12:58:49,South Africa,"['MakhosiKhoza', 'ChangeParty', 'Ramaphosa', 'EFF', 'DA', 'ANC']"
ndz victory supportret ret blf ndz17 anc president election sm,17:11:26 10:36:43,"Randburg, South Africa","['NDZ', 'SupportRET', 'RET', 'BLF', 'NDZ17', 'ANC', 'PRESIDENT', 'ELECTION']"
weeks election interesting could fore runner things shake 2019 sacp eff put anc canvas,17:11:26 10:33:18,South Africa,"['SACP', 'EFF', 'ANC']"
ndz victory supportret supportblf supportndz vote ndz17 anc savesa sm,17:11:26 09:57:32,South Africa,"['NDZ', 'SupportRET', 'SupportBLF', 'SupportNDZ', 'Vote', 'NDZ17', 'ANC']"
strong opposition need south africa vote opposition party vote anc,17:11:26 09:11:33,"Johannesburg, South Africa",['ANC']
assure nkosazanadlaminizuma camp intending cook manipulate votes guaranteed presidential position ever takes keep baba ka duduzane jail anc,17:11:26 04:43:15,South Africa,"['NkosazanaDlaminiZuma', 'ANC']"
ancyl ancwl parent anc people appointed rule reason credit downgrade replace incompetent guptacaptured south african voters get rid anc next elections clean ship,17:11:26 03:39:16,"Nelson Mandela Bay, SA","['ANCYL', 'ANCWL', 'ANC']"
wednesday people sasolburg deneysville kragbron oranjeville go polls elect municipal council metsimaholo da hopes unseat yet another corrupt anc local government theyll need get every single voter polls win,17:11:25 17:44:12,Cape Town,"['DA', 'ANC']"
kwankwa cr17 wins opposition including da must votework anc malema keep votes,17:11:25 17:25:42,South Africa,"['CR17', 'DA', 'ANC', 'malema']"
still think anc going disintegrate december2017 leaving julius complicated choices election2019,17:11:25 11:48:43,"Pretoria, South Africa","['ANC', 'December2017', 'Election2019']"
da wake dont vote cause agree enough anc corruption wanted take away public purse anc make sense,17:11:25 07:53:28,South Africa,['ANC']
vote get govt elect get involved politics whichever possible 2019elections make break note 2019 corruption watch anc led govt robbing us future roadto2019,17:11:25 07:15:33,Cape Town,"['2019Elections', 'Corruption', 'ANC', 'Roadto2019']"
527 days till next elections unseat anc led government responsible guptas nkandla marikana guptaleaks lifeesidimeni statecapture opportunity newbeginning voteright 2019 let unseat anc,17:11:25 07:09:10,Cape Town,"['ANC', 'Guptas', 'Nkandla', 'Marikana', 'GuptaLeaks', 'LifeEsidimeni', 'StateCapture', 'NewBeginning', 'VoteRight', 'ANC']"
hope people keep thieves power use voices vote anc b saved look da fixing jhb know b,17:11:25 06:05:52,South Africa,"['anc', 'DA']"
ancdsg need one voice say vote anc,17:11:24 14:44:44,South Africa,"['ANCDSG', 'ANC']"
race anc voters limpopo bemoan poverty levels,17:11:23 20:55:55,South Africa,"['ANC', 'Limpopo']"
would seeing manner anc bgms ar conducted manipulated encourage masses vote 2019 stay indoors,17:11:23 19:55:29,"Iqadi, South Africa","['Would', 'SA', 'ANC', 'Masses']"
party luv anc come neva hear stories like watch da winning voters anc,17:11:23 18:29:03,Pretoria,['ANC']
ancelectiveconference anc nandosdmgathering white media opposition sure anc losing election 2019 wouldnt interested elective conference wouldnt pushing ranaphosa agenda,17:11:23 08:15:44,"Butterworth, South Africa","['ANCElectiveConference', 'ANC', 'NandosDMGathering']"
poll anc restore respect democratic values south africa vote,17:11:23 06:50:34,"Durban, South Africa","['POLL', 'ANC']"
sad govt care sanitation limpopo full corruption politicians dont care poor sadly people vote anc,17:11:22 16:32:09,"Johannesburg, South Africa",['ANC']
investors business community want see cyril ramaphosa president anc ramaphosa grow economy faster vote retweet majozipoll,17:11:22 15:32:27,"Johannesburg, South Africa","['ANC', 'Ramaphosa', 'MajoziPoll']"
keep forgetting power leadership holds poor voterssocialgrants course issue starts anc,17:11:22 14:02:01,South Africa,"['SocialGrants', 'ANC']"
isnt anc scheduling vote confidence zuma enough evidence state capture nothing enabling corruption last chance right thing anc,17:11:22 13:47:33,"Johannesburg, South Africa","['ANC', 'Zuma']"
anc mantashe says voting top six done differently done individually run pres announce dep pres announce,17:11:22 13:10:42,"Soweto, South Africa",['ANC']
anc mantashe nomination election take place second conference says run elections top 6 individually announce go along lee,17:11:22 13:09:48,South Africa,['ANC']
anc mantashe says elections second conference nec last,17:11:22 13:09:41,Midrand,['ANC']
anc mantashe says counting votes done thru manual avoid complications says delegates wont allowed take pics ballots,17:11:22 13:06:30,"Soweto, South Africa",['ANC']
anc vote counting mantashe says manual counting better satisfies delegates,17:11:22 13:05:45,Johannesburg,['ANC']
anc mantashe voting top 6 begin 2nd conference,17:11:22 13:02:47,"Johannesburg, South Africa",['ANC']
anc mantashe says voting top six done second conference,17:11:22 13:02:22,"Soweto, South Africa",['ANC']
anc mantashe says top 6 voting done 2nd conference counting done manually,17:11:22 13:02:04,Johannesburg,['ANC']
mejim smalema lets vote anc anc today one parents voted 1994,17:11:22 12:07:46,Germiston,['ANC']
zuma steal anc dec election could see derriere faster mugabe found line sand ramaphosa,17:11:22 08:46:06,South Africa,"['Zuma', 'ANC', 'Mugabe', 'Ramaphosa']"
smalema rather voting eff rather go back anc wena julius wa tshosa u collapse country within minutes u getting power,17:11:22 08:08:19,"Mabopane, South Africa","['EFF', 'ANC', 'Power']"
zuma shown blind loyalty loyalty dont blindly support political party surely time vote political leaders speak needs political parties bad see good leaders yet zumamustfall anc da eff,17:11:22 06:18:07,Cape Town,"['zumamustfall', 'ANC', 'DA', 'EFF']"
mugaberesigns man never dictator party every elections party always chose lead like buthelezi asked ifp lead 30 years zanupf kept voted anc please learn,17:11:21 19:48:27,"Polokwane, South Africa","['MugabeResigns', 'Buthelezi', 'IFP', 'ZanuPF', 'ANC']"
next follow president robertmugabe captured anc 2019national elections,17:11:21 19:08:57,South Africa,"['RobertMugabe', 'ANC', '2019national']"
poll make best deputy president anc vote,17:11:21 09:06:52,"Durban, South Africa","['POLL', 'ANC']"
remember anc donated state power guptas 2019 peaple reclaim votes viva change anc must fall,17:11:21 05:22:49,midvaal,['ANC']
basic education dept warned sinking toilets 10 years ago limpopo court hears via voters realise anc doesnt give shit,17:11:20 18:38:55,"Pietermaritzburg, SouthAfrica",['ANC']
anc wash zuma exactly 20th december jan 8 statement 2018 future election campaigns saving tweet,17:11:20 12:18:52,Cape Town,"['ANC', 'Zuma']"
ramaphosa fears votes bought conference credible internal elective processes anc,17:11:20 11:17:32,South Africa,"['Ramaphosa', 'ANC']"
anc stalwarts want direct voting party leaders,17:11:20 10:47:50,South Africa,['ANC']
play happy families election ndz clarion call duplicity see anc,17:11:20 09:11:55,South Africa,"['NDZ', 'ANC']"
thanks funds clean drink shit anc looters like zuma live luxury vote wake responsible future electionssa2019 da,17:11:20 07:00:25,South Africa,"['ANC', 'zuma', 'ElectionsSA2019']"
dear zuma please fire cyrilramaphosa replace nkosazanadlaminizuma elections wanna see anc guts fire,17:11:20 04:15:42,South Africa,"['Zuma', 'CyrilRamaphosa', 'NkosazanaDlaminiZuma', 'ANC']"
pf pf able recall cde araa gee mugabe failed recall jz ndz jz must take lesson wont vote anc ndz,17:11:19 16:15:46,"Tshwane, South Africa","['JZ', 'NDZ', 'ANC', 'NDZ']"
ncama anc still power vote 2019,17:11:19 15:06:10,"Cape Town, South Africa",['ANC']
lets remind opposition parties members didnt vote individuals voted policies programes anc defend protect democracy anc faught,17:11:19 12:05:58,Pretoria,"['ANC', 'ANC']"
duplicity ndz bucket loads lady saying must unite behind whoever survives anc dec election duarte really zip embarrassing ramaphosa,17:11:19 10:56:26,South Africa,"['NDZ', 'ANC', 'Duarte', 'Ramaphosa']"
anc stalwarts shud contest elections reclaim anc mbeki respect anc constitution perhaps wants coup,17:11:19 10:35:19,"Pietermaritzburg, South Africa",['Anc']
next visit investigating community limpopo next year release video visited 9 provinces rural places sad dont use people votes 2019 dont promise things u wont fulfill anc anc da eff others,17:11:19 10:11:11,Johannesburg ,"['Anc', 'ANC', 'DA', 'EFF']"
fact anc fails win elections 2019 fails form coalition government supporters could abandon quickly supporters mugabe zimbabwe coup,17:11:19 02:42:55,South Africa,"['ANC', 'Mugabe', 'Zimbabwe', 'Coup']"
shame corrupt anc donated state poor guptas 2019 peaple wil reclaim poor voting zupta anc must fall,17:11:18 08:45:58,midvaal,['ANC']
meaningless drivel zuma zimbabwecrisis mbeki chance support democracy chose help mugabe steal elections instead noone trusts anc help zimbabwe,17:11:17 20:39:47,"Cape Town, South Africa","['Zuma', 'Zimbabwecrisis', 'Mbeki', 'Mugabe', 'ANC', 'Zimbabwe']"
anc stalwarts careful thief stalwarts protect wmc goondaan anc voters aware agenda,17:11:17 15:03:11,"Pietermaritzburg, South Africa",['Anc']
vote back horrible days apartheid people would 1st loudest group condemning nations abstaining vote shame anc,17:11:17 10:02:11,"Johannesburg, South Africa","['apartheid', 'shame', 'ANC']"
mpumalanga anc voters fed corruption party province,17:11:16 16:55:11,South Africa,"['Mpumalanga', 'ANC']"
mpumalanga anc voters fed corruption party province affect nominate december2017 electiveconference,17:11:16 13:11:32,South Africa,"['Mpumalanga', 'ANC', 'december2017', 'electiveconference']"
state anc govt voted people,17:11:16 12:33:31,"MIDRAND,SOUTH AFRICA",['ANC']
anc retains seats gauteng western cape byelections,17:11:16 10:36:31,South Africa,['ANC']
anc still winning elections country wide despite biased anti anc reporting wmc media reporting,17:11:16 08:33:28,"Pietermaritzburg, South Africa",['Anc']
bizos appeal south africans accept outcome anc loses 2019 elections anc georgebizos ancdecides,17:11:16 06:11:22,South Africa,"['ANC', 'GeorgeBizos', 'ANCDecides']"
anc voters means,17:11:16 05:51:56,"Pretoria, South Africa",['ANC']
news michaelkomape lifeesidimeni cases show anc regard compassion poor theyre useful voting fodder,17:11:15 21:21:45,"Cape Town, South Africa","['MichaelKomape', 'LifeEsidimeni', 'ANC']"
ramaphosa poisonous snake anc doubt ramaphosa captured whitemonopolycapitals ready bite support wmc novoteramaphosa,17:11:15 17:07:58,South Africa,"['Ramaphosa', 'ANC', 'Ramaphosa', 'WHITEMONOPOLYCAPITALS', 'SA', 'WMC', 'NoVoteRamaphosa']"
zimbabwecoup actually took place years ago mbeki anc allowed mugabe steal election,17:11:15 16:58:26,"Cape Town, South Africa","['ZimbabweCoup', 'Mbeki', 'ANC', 'Mugabe']"
agreed sir ive also tweeted da call zim elections yet da failed file dissolution parliament anc violatedbreached constitution removing pres zuma da complicit letsgo,17:11:15 12:58:41,South Africa,"['DA', 'ANC', 'LetsGo']"
johannrupert funding cr threating anc mps dirty politics whites planning support ramaphosa destroy novoteramaphosa savesa,17:11:15 11:47:43,South Africa,"['JohannRupert', 'CR', 'ANC', 'whites', 'Ramaphosa', 'SA', 'NoVoteRamaphosa']"
names ndz choice anc president sm ndz17 votendz17 ret savesa,17:11:15 05:48:33,"Johannesburg, South Africa","['NDZ', 'ANC', 'NDZ17', 'VoteNDZ17', 'RET']"
total voting delegates anc conference 5240 90 branches 10 leagues nec exofficio pecs therefore 4731 branches 509 split leagues etc anc2017,17:11:14 10:54:37,"Johannesburg, South Africa","['ANC', 'ANC2017']"
question people vote anc wants leaders dance music,17:11:14 07:13:42,South Africa,['ANC']
zuma many people spoken use money buy votes within anc straighttalk,17:11:14 06:49:38,"Midrand, South Africa","['ANC', 'StraightTalk']"
radical economic empowerment ret opposite neoliberalism however ret election rhetoric anc neoliberalism official policy anc since 1996 anc speak left talk right lie people remain poor,17:11:14 03:51:58,South Africa,"['RET', 'Neoliberalism', 'RET', 'ANC']"
watershed moment dec anc clean stolen election fear safety delegates kzn killing fields standard chairs,17:11:14 03:27:39,South Africa,"['ANC', 'KZN']"
anc meet eff gain support 2nd vote confidence johannesburgs mayor herman mashaba,17:11:14 02:41:14,"Centurion, South Africa","['ANC', 'EFF', 'Johannesburg', 'Mashaba']"
