,Text,Datetime,Location,Hashtags
1411,none man made systems resource allocation distribution immune corruption steinhoff guptas,17:12:12 15:23:34,"Pretoria, South Africa","['corruption', 'Steinhoff', 'Guptas']"
1412,3 comments insofar steinhoff alleged unfair andor irregular trading practices private sector well recorded criticism collusion private sector government officials past seen light corruption,17:12:12 13:57:57,South Africa,"['Steinhoff', 'Corruption', 'SouthAfrica']"
1413,corruption crimesagainsthumanity humanrightsviolations corporateaccountability corruptauthorities torture publichealthemergency deceivers enviroserv enablers thousands victims witnesses testimonies crimes humanity animals environment,17:12:12 13:04:55,"Durban, South Africa","['Corruption', 'CrimesAgainstHumanity', 'HumanRightsViolations', 'CorporateAccountability', 'CorruptAuthorities', 'Torture', 'PublicHealthEmergency', 'Deceivers']"
1414,even one count count many corruption zuma point stands,17:12:12 12:46:49,Cape Town,"['corruption', 'Zuma']"
1415,please fridge ordered paid weeks ago offer kind service care customers least could answer phones service failure corruption,17:12:12 12:40:30,Johannesburg,"['service', 'failure', 'CORRUPTION']"
1416,thiefinchief zuma corruption statecapture leadership 14,17:12:12 12:25:06,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
1417,thiefinchief zuma corruption statecapture leadership 14,17:12:12 12:25:05,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
1418,thiefinchief zuma corruption statecapture leadership 12,17:12:12 10:35:05,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
1419,thiefinchief zuma corruption statecapture leadership 12,17:12:12 10:35:05,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
1420,freefall tipping point turning point politics corruption 11,17:12:12 09:35:07,"Cape Town, South Africa","['ANC', 'politics', 'SouthAfrica', 'corruption']"
1421,freefall tipping point turning point politics corruption 11,17:12:12 09:35:06,"Cape Town, South Africa","['ANC', 'politics', 'SouthAfrica', 'corruption']"
1422,ran poll yesterday impressed 16 smallbusiness chooseday corruption steinhoff fraud,17:12:12 08:47:12,South Africa,"['ANC', 'SmallBusiness', 'ChooseDay', 'Corruption', 'Steinhoff', 'Fraud']"
1423,chooseday biggest win corruption fighting 2017 independent media leading fight expos attention private sector corruption corporates facing consequences corrupt actions say vote,17:12:12 08:42:14,South Africa,"['ChooseDay', 'corruption']"
1424,thiefinchief zuma corruption statecapture leadership 10,17:12:12 08:10:07,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
1425,thiefinchief zuma corruption statecapture leadership 10,17:12:12 08:10:05,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
1426,contrary analysis could also true corruption systemic problem,17:12:12 08:01:00,South Africa,"['Corruption', 'SouthAfrica']"
1427,theyre discussing advanced strategic enhance current methodology place corruption,17:12:12 06:49:46,South africa ,['corruption']
1428,sickens every news item colourised whiteblack one worse mara evil colour blind steinhoff npa corruption,17:12:12 06:40:09,Mpumalanga,"['Steinhoff', 'NPA', 'CORRUPTION']"
1429,poll south africans care public sector corruption private sector corruption steinhoff steinhofffraud steinhoffscandal steinhoffcorruption statecapture corruptionmustdie corruption sabcnews,17:12:12 06:18:48,South Africa,"['Steinhoff', 'SteinhoffFraud', 'Steinhoffscandal', 'SteinhoffCorruption', 'StateCapture', 'anc', 'CorruptionMustDie', 'CORRUPTION', 'SABCNews']"
1430,wants person like dlaminizuma serves nation worries native blacks wants free country wmc corruption ramaphosa person exploits nation wants loot wmc choice hands supportndz,17:12:12 06:10:37,"Johannesburg, South Africa","['DlaminiZuma', 'wmc', 'corruption', 'Ramaphosa', 'WMC', 'SupportNDZ']"
