,Text,Datetime,Location,Hashtags
0,thiefinchief zuma corruption leadership 0,17:12:31 22:55:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1,thiefinchief zuma corruption leadership 20,17:12:31 18:40:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
2,thiefinchief zuma corruption leadership 17,17:12:31 15:35:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3,helloworld meet next politician levels bribery corruption get hairdid poor savage chocolates popcorn looks beautiful though daddyslittlegirl got skills shedoes,17:12:31 12:45:58,"Roodepoort, South Africa","['HelloWorld', 'politician', 'bribery', 'corruption', 'hairDid', 'savage', 'chocolates', 'popcorn', 'beautiful', 'daddyslittlegirl', 'shedoes']"
4,thiefinchief zuma corruption leadership 10,17:12:31 08:10:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
5,ramaphosa best silent dp worst complicit one instead fighting corruption statecapture spent 2017 campaign trail bid elected president showing cares fortunes,17:12:31 06:53:53,"Johannesburg, South Africa","['Ramaphosa', 'Corruption', 'StateCapture', 'ANC']"
6,thiefinchief zuma corruption leadership 7,17:12:31 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
7,attacked demonized rhetoric ret must however admit failure implement commission inquiry corruption inexcusable freeeducation noble motivated politics benefit people timing,17:12:31 05:03:20,South Africa,"['RET', 'Corruption', 'FreeEducation']"
8,freefall tipping point turning point politics corruption 6,17:12:31 04:10:02,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
9,freefall tipping point turning point politics corruption 4,17:12:31 02:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
10,thiefinchief zuma corruption leadership 2,17:12:31 00:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
11,freefall tipping point turning point politics corruption 1,17:12:30 23:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
12,thiefinchief zuma corruption leadership 0,17:12:30 22:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
13,thiefinchief zuma corruption leadership 22,17:12:30 20:40:08,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
14,thiefinchief zuma corruption leadership 20,17:12:30 18:40:09,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
15,thiefinchief zuma corruption leadership 19,17:12:30 17:05:11,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
16,let level disdainful noise made white corruption much made black corruption media house ngos works corrupt whites must also thrown jail throw keys away theyve damaged economy,17:12:30 16:31:04,"Johannesburg, South Africa","['CORRUPTION', 'RSA']"
17,thiefinchief zuma corruption leadership 17,17:12:30 15:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
18,thiefinchief zuma corruption leadership 15,17:12:30 13:25:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
19,corruption must fall,17:12:30 13:23:15,"Pretoria, South Africa",['CORRUPTION']
20,zumas south africa educationcrisis nenegate sassagate prasagate guptagate saagate nukegate economiccrisis etc zumas factionalism cronyism ineptitude corruption generalchaos thanks zero oversight cronyism greed lack vision mention greed,17:12:30 07:35:20,"Cape Town, South Africa","['Zuma', 'EducationCrisis', 'NeneGate', 'SASSAGate', 'PRASAGate', 'GuptaGate', 'SAAGate', 'NukeGate', 'EconomicCrisis', 'Factionalism', 'Cronyism', 'Ineptitude', 'Corruption', 'GeneralChaos']"
21,tweet bit unclear whether support corruption impeachment,17:12:30 04:49:54,Cape Town,"['Corruption', 'Impeachment']"
22,court raises pressure zuma go court said parliament failed hold president jacobzuma accountable corruption case ordered lawmakers set rules impeachment,17:12:30 04:14:33,South Africa,"['SouthAfrica', 'Court', 'Zuma', 'Parliament', 'JacobZuma', 'corruption', 'lawmakers', 'impeachment']"
23,watching amazing documentary rise activecitizenry romania combat corruption wonder ever get,17:12:29 12:47:27,"Johannesburg, South Africa","['ActiveCitizenry', 'Romania', 'Corruption', 'SouthAfrica']"
24,observed today corruption inevitable area resource institutionalized accountability corruption,17:12:29 09:49:45,"Pretoria, South Africa",['corruption']
25,throw outta trash before2018 exes fakefriends badhabits fakefamily lies cheating corruption,17:12:29 08:01:44,"Johannesburg, South Africa","['exes', 'fakefriends', 'badhabits', 'fakefamily', 'lies', 'cheating', 'CORRUPTION']"
26,time changing must also change land first priority must fight remove corruption remove inequality forget rand till get back belongs us landordeath blf,17:12:29 06:30:15,South Africa,"['Land', 'corruption', 'Rand', 'LandorDeath', 'BLF']"
27,hope next administration news government work court b expropriation land firepool statecapture corruption,17:12:29 05:13:39,"Cape Town, South Africa","['firepool', 'StateCapture', 'CORRUPTION']"
28,eni tried 13 billion nigerian oil deal italian judge ruled current former executives two world largest oil companies must go trial corruption charges,17:12:29 05:12:15,South Africa,"['Eni', 'Nigerian', 'Oil', 'Italian', 'corruption']"
29,one things make country great lets leave stupid things corruption racism behind us forward,17:12:28 09:43:07,"Johannesburg, RSA","['CORRUPTION', 'RACISM']"
30,bono discusses band fighting corruption learned almost dying via u2,17:12:28 08:24:24,"Cape Town, South Africa","['corruption', 'U2']"
31,utmost best make corruption issue racial south africa never win unified nation long racebaiting politicians media continue try manipulate public opinion,17:12:27 10:21:18,"Umlazi, South Africa",['corruption']
32,corruption wins saw real face white cannot see rising anything blacknatives suffering long rights ramaphosa president helps white business interested black business bad days start,17:12:26 11:23:32,South Africa,"['Corruption', 'White', 'blacknatives', 'ramaphosa']"
33,corrupt heart mind morality politics economics ethics religion social decency reasoning even leadership time surely show never left leadership leaders left zuma corruption,17:12:26 07:23:44,South Africa,"['Zuma', 'Corruption']"
34,lion roar mouse squeak cr17 anc54 ancdecides2017 zuma783 corruption treason zuma fears two power centres come true via,17:12:25 21:49:07,South Africa,"['CR17', 'ANC54', 'ANCdecides2017', 'ZUMA783', 'Corruption', 'Treason']"
35,following week riviting politics lot hinged perceptions corruption one outstanding matter remains complete agreement constitutes corruption many times blind eye turned regard matter legislative prescripts,17:12:25 19:32:05,Kimberley,"['SouthAfrica', 'corruption']"
36,thiefinchief zuma corruption leadership 14,17:12:25 12:25:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
37,thiefinchief zuma corruption leadership 12,17:12:25 10:35:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
38,freefall tipping point turning point politics corruption 11,17:12:25 09:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
39,zuma corruption first hand fight corruption stands,17:12:25 08:52:37,South Africa,"['Zuma', 'Corruption']"
40,thiefinchief zuma corruption leadership 10,17:12:25 08:10:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
41,zuma citizen india cares growing countrys economy unlawful means corruption moneylaundering,17:12:25 05:44:47,South Africa,"['corruption', 'money_laundering']"
42,thiefinchief zuma corruption leadership 7,17:12:25 05:35:02,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
43,freefall tipping point turning point politics corruption 6,17:12:25 04:10:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
44,freefall tipping point turning point politics corruption 4,17:12:25 02:35:02,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
45,thiefinchief zuma corruption leadership 2,17:12:25 00:55:02,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
46,freefall tipping point turning point politics corruption 1,17:12:24 23:35:02,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
47,thiefinchief zuma corruption leadership 0,17:12:24 22:55:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
48,thiefinchief zuma corruption leadership 22,17:12:24 20:40:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
49,blf shall also lead progressive forces fight whitemonopolycapital corruption demand implementation revised miningcharter blf progressive forces must defend gains freeeducation part ret programme action,17:12:24 20:20:41,"Cape Town, South Africa","['BLF', 'whitemonopolycapital', 'corruption', 'MiningCharter', 'FreeEducation', 'RET']"
50,thiefinchief zuma corruption leadership 20,17:12:24 18:40:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
51,first dont believe secondly whites looted us contributing lessen poverty whats big deal think sold ramaphosa rupert favoring corrupt corruption,17:12:24 18:05:21,South Africa,"['Whites', 'Ramaphosa', 'Rupert', 'corrupt', 'CORRUPTION']"
52,thiefinchief zuma corruption leadership 19,17:12:24 17:05:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
53,sos help emergency enviroserv poisoning environment crime massmurder crimesagainsthumanity corruption illegal airpollution torture abuse humanrightsviolations abovethelaw psychotic liars deceivers evil wastecrime spewing like fukushima,17:12:24 16:40:15,"Durban, South Africa","['SOS', 'Help', 'Emergency', 'EnviroServ', 'Poisoning', 'Environment', 'Crime', 'MassMurder', 'CrimesAgainstHumanity', 'Corruption', 'Illegal', 'AirPollution', 'Torture', 'Abuse', 'HumanRightsViolations', 'AboveTheLaw', 'Psychotic', 'Liars', 'Deceivers', 'Evil', 'WasteCrime']"
54,sos help emergency enviroserv poisoning environmentcrimes massmurder crimesagainsthumanity animalabuse wrong corruption evil humanrightsviolations illegal psychotic abuse torture pollutioncrime wastecrime deceivers liars abovethelaw,17:12:24 16:38:26,"Durban, South Africa","['SOS', 'Help', 'Emergency', 'EnviroServ', 'Poisoning', 'EnvironmentCrimes', 'MassMurder', 'CrimesAgainstHumanity', 'AnimalAbuse', 'Wrong', 'Corruption', 'Evil', 'HumanRightsViolations', 'Illegal', 'Psychotic', 'Abuse', 'Torture', 'PollutionCrime', 'WasteCrime', 'Deceivers', 'Liars', 'AboveTheLaw']"
55,politics mustnt access 2 state resources must ability 2 serve ur constituancy abt access 2 resources corruption permeates merry xmas bro tim,17:12:24 15:35:20,South Africa ,['CORRUPTION']
56,thiefinchief zuma corruption leadership 17,17:12:24 15:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
57,president shame whistleblower corruptionbuster still ostracize uncover report corruption even corruption whistleblower,17:12:24 14:26:37,"Cape Town, South Africa","['ANC', 'CORRUPTION', 'Whistleblower']"
58,thiefinchief zuma corruption leadership 15,17:12:24 13:25:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
59,thiefinchief zuma corruption leadership 14,17:12:24 12:25:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
60,thiefinchief zuma corruption leadership 12,17:12:24 10:35:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
61,freefall tipping point turning point politics corruption 11,17:12:24 09:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
62,thiefinchief zuma corruption leadership 10,17:12:24 08:10:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
63,theguptas bombardier guptas got canada finance deal corruption zuma,17:12:24 07:35:36,"Cape Town, South Africa","['Bombardier', 'Canada', 'Corruption', 'ANC', 'Zuma']"
64,news statecapture report political tool defame zuma fake state capture occur effectively would wide level corruption bribery taking place executive spheres administration judiciary legislature,17:12:24 06:50:16,"Johannesburg, South Africa","['StateCapture', 'Zuma', 'fake', 'corruption']"
65,thiefinchief zuma corruption leadership 7,17:12:24 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
66,freefall tipping point turning point politics corruption 6,17:12:24 04:10:02,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
67,freefall tipping point turning point politics corruption 4,17:12:24 02:35:02,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
68,thiefinchief zuma corruption leadership 2,17:12:24 00:55:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
69,freefall tipping point turning point politics corruption 1,17:12:23 23:35:02,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
70,thiefinchief zuma corruption leadership 0,17:12:23 22:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
71,thiefinchief zuma corruption leadership 22,17:12:23 20:40:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
72,carl niehaus radical economic corruption anc54 corruption clean house might sorry embarrassed 2019 elections thugs like still active greatest movement,17:12:23 19:07:34,"Cape Town, South Africa","['ANC54', 'CORRUPTION']"
73,thiefinchief zuma corruption leadership 20,17:12:23 18:40:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
74,thiefinchief zuma corruption leadership 19,17:12:23 17:05:12,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
75,thiefinchief zuma corruption leadership 17,17:12:23 15:35:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
76,thiefinchief zuma corruption leadership 14,17:12:23 12:25:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
77,thiefinchief zuma corruption leadership 12,17:12:23 10:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
78,freefall tipping point turning point politics corruption 11,17:12:23 09:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
79,thiefinchief zuma corruption leadership 10,17:12:23 08:10:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
80,thiefinchief zuma corruption leadership 7,17:12:23 05:35:02,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
81,speaker osun state house assembly najeem saleem sharing dividends democracy constituents ejigbo twas gala lipton corruption nigeria roguery accountability service traffic trust,17:12:23 05:17:14,"Oslo Beach, South Africa","['CORRUPTION', 'Nigeria', 'roguery', 'accountability', 'service']"
82,freefall tipping point turning point politics corruption 6,17:12:23 04:10:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
83,freefall tipping point turning point politics corruption 4,17:12:23 02:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
84,thiefinchief zuma corruption leadership 2,17:12:23 00:55:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
85,freefall tipping point turning point politics corruption 1,17:12:22 23:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
86,thiefinchief zuma corruption leadership 0,17:12:22 22:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
87,thiefinchief zuma corruption leadership 22,17:12:22 20:40:11,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
88,thiefinchief zuma corruption leadership 20,17:12:22 18:40:11,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
89,words chiefs get land people corruption,17:12:22 18:39:57,"Cape Town, South Africa",['corruption']
90,thiefinchief zuma corruption leadership 19,17:12:22 17:05:11,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
91,dear dear allseeing kind god average south african plebs dont access endless state funds live hope one zuma appeal endless appellations statecapture corruption fraud,17:12:22 16:51:45,South Africa,"['Zuma', 'StateCapture', 'Corruption', 'Fraud']"
92,press dear dear allseeing kind god average south african plebs dont access endless state funds live hope one zuma appeal endless appellations statecapture corruption fraud,17:12:22 16:49:44,South Africa,"['Zuma', 'StateCapture', 'Corruption', 'Fraud']"
93,bribery corruption buy men honor dignity nofriendshipwithusa manisknownby thecompanyhekeeps,17:12:22 16:32:10,South Africa,"['Bribery', 'Corruption', 'NoFriendshipWithUSA', 'ManIsKnownBy']"
94,thiefinchief zuma corruption leadership 17,17:12:22 15:35:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
95,thiefinchief zuma corruption leadership 14,17:12:22 12:25:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
96,thiefinchief zuma corruption leadership 14,17:12:22 12:25:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
97,thiefinchief zuma corruption leadership 14,17:12:22 12:25:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
98,thiefinchief zuma corruption leadership 12,17:12:22 10:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
99,inseta must fall sandra dunn cronies must fall paja corruption exploitation dhet dol,17:12:22 10:35:05,South Africa,"['INSETA', 'PAJA', 'Corruption', 'Exploitation', 'DHET', 'DoL']"
100,thiefinchief zuma corruption leadership 12,17:12:22 10:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
101,thiefinchief zuma corruption leadership 12,17:12:22 10:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
102,freefall tipping point turning point politics corruption 11,17:12:22 09:35:06,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
103,freefall tipping point turning point politics corruption 11,17:12:22 09:35:05,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
104,thiefinchief zuma corruption leadership 10,17:12:22 08:10:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
105,thiefinchief zuma corruption leadership 10,17:12:22 08:10:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
106,thiefinchief zuma corruption leadership 10,17:12:22 08:10:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
107,thiefinchief zuma corruption leadership 7,17:12:22 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
108,thiefinchief zuma corruption leadership 7,17:12:22 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
109,thiefinchief zuma corruption leadership 7,17:12:22 05:35:02,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
110,freefall tipping point turning point politics corruption 6,17:12:22 04:10:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
111,freefall tipping point turning point politics corruption 6,17:12:22 04:10:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
112,freefall tipping point turning point politics corruption 6,17:12:22 04:10:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
113,freefall tipping point turning point politics corruption 4,17:12:22 02:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
114,freefall tipping point turning point politics corruption 4,17:12:22 02:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
115,freefall tipping point turning point politics corruption 4,17:12:22 02:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
116,thiefinchief zuma corruption leadership 2,17:12:22 00:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
117,thiefinchief zuma corruption leadership 2,17:12:22 00:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
118,thiefinchief zuma corruption leadership 2,17:12:22 00:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
119,freefall tipping point turning point politics corruption 1,17:12:21 23:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
120,freefall tipping point turning point politics corruption 1,17:12:21 23:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
121,freefall tipping point turning point politics corruption 1,17:12:21 23:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
122,thiefinchief zuma corruption leadership 0,17:12:21 22:55:08,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
123,thiefinchief zuma corruption leadership 0,17:12:21 22:55:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
124,thiefinchief zuma corruption leadership 0,17:12:21 22:55:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
125,corruption race ever corrupt another individual chooses corrupt pull race card get fellow race group agree narrative used jimmy see,17:12:21 22:04:28,"Cape Town, South Africa",['CORRUPTION']
126,everyone involved statecapture corruption considering pure heart shall see god,17:12:21 20:50:21,"Pretoria, South Africa","['StateCapture', 'corruption']"
127,politicians south africa vocal corruption know friends outside politics show yr friends tell u lets get serious fighting corruption stealing,17:12:21 20:40:45,Midrand,['corruption']
128,come dont take corruption seriously unafrican corruption,17:12:21 17:53:34,South Africa,['corruption']
129,thiefinchief zuma corruption leadership 19,17:12:21 17:05:16,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
130,thiefinchief zuma corruption leadership 17,17:12:21 15:35:09,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
131,best christmas present given year additional donation help invaluable work savesa fighting corruption abuse taxes,17:12:21 12:24:14,"Johannesburg, South Africa",['Corruption']
132,may add jola resolved corruption statecapture u r spot,17:12:21 12:12:51,South Africa,"['Corruption', 'StateCapture']"
133,imf tells congo brazzaville clean corruption get moving debt restructuring wants bailout keep economy imploding,17:12:21 12:07:13,"Johannesburg, South Africa","['IMF', 'Congo', 'Brazzaville', 'corruption', 'debt']"
134,patriarchy reared ugly head true even many years independence still shackled stigma patriarchy inequality win corruption racism biased wmc anc54 ancelectiveconference cr17,17:12:21 08:10:59,"Johannesburg, South Africa","['Corruption', 'racism', 'biased', 'WMC', 'ANC54', 'ANCElectiveConference', 'CR17']"
135,iran sentences former vice president 63 years prison misuse public funds office via corruption,17:12:21 08:00:11,"Cape Town, South Africa",['Corruption']
136,2017 seen interesting revelations corruption anc54 zuma mugabe guptaleaks throwbackthursday au estimates 25 gdp african states 148 billion lost corruption every year imagine possibility 2018,17:12:21 07:41:57,"Johannesburg, South Africa","['Corruption', 'ANC54', 'Zuma', 'Mugabe', 'GuptaLeaks', 'ThrowbackThursday', 'AU', 'African', 'corruption']"
137,delighted part organisation stands corruption henleyafrica corporateactivism lovesa,17:12:21 07:06:10,"Johannesburg, South Africa","['corruption', 'HenleyAfrica', 'CorporateActivism', 'LoveSA']"
138,phanzi nge corruption fraud phanzi movement resolve cancer thats destroying country anc54,17:12:21 06:46:55,"Pretoria, South Africa","['corruption', 'fraud', 'ANC54']"
139,grand corruption people got bad deal codesa responsible got billions colonialism apartheid institutionalized corruption theft grand scale statecapture huge proportions let honest,17:12:21 06:12:58,South Africa,"['Grand', 'Corruption', 'Codesa', 'StateCapture']"
140,christowiese resigned sold share corruption whites coverage white media houses,17:12:21 06:03:47,South Africa,"['ChristoWiese', 'Corruption', 'whites', 'white']"
141,thiefinchief zuma corruption leadership 2,17:12:21 00:55:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
142,freefall tipping point turning point politics corruption 1,17:12:20 23:35:06,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
143,thiefinchief zuma corruption leadership 0,17:12:20 22:55:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
144,east london atms give cash thats short hence el people always counting cash leaving atm corruption,17:12:20 22:46:31,"Cape Town, South Africa",['corruption']
145,thiefinchief zuma corruption leadership 22,17:12:20 20:40:11,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
146,corruption humanrights issue important case seeking accountability corporate wrongdoing resourcingrights bizhumanrights,17:12:20 20:17:59,"Johannesburg, South Africa","['corruption', 'humanrights', 'resourcingrights', 'bizhumanrights']"
147,thiefinchief zuma corruption leadership 20,17:12:20 18:40:12,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
148,central liberating decentralisation may africas opportunity rise wasted corruption civilwars hinder development,17:12:20 18:20:46,"Johannesburg, South Africa","['liberating', 'decentralisation', 'opportunity', 'RISE', 'Corruption', 'CivilWars', 'development']"
149,anc54 make simple ruling missing 68 votes issues drags thats cannot decisive corruption many guilty,17:12:20 16:40:39,Cape Town,"['ANC', 'ANC54', 'ANC', 'Corruption']"
150,thiefinchief zuma corruption leadership 17,17:12:20 15:35:10,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
151,thiefinchief zuma corruption leadership 15,17:12:20 13:30:24,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
152,thiefinchief zuma corruption leadership 14,17:12:20 12:25:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
153,blf shall also lead progressive forces fight whitemonopolycapital corruption demand implementation revised miningcharter blf progressive forces must defend gains freeeducation part ret programme action sm,17:12:20 12:00:19,"Johannesburg, South Africa","['BLF', 'whitemonopolycapital', 'corruption', 'MiningCharter', 'FreeEducation', 'RET']"
154,cant even go japan escape corruption world east west love show greed,17:12:20 11:42:18,"Pretoria, South Africa","['corruption', 'greed']"
155,thiefinchief zuma corruption leadership 12,17:12:20 10:35:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
156,false black south africans r 500 000 r 1 million poorer result bad economic deal cyril ramaphosa codesa hand became r 8 billion richer since called sellout corruption treason prefer word treason,17:12:20 10:13:54,South Africa,"['Sellout', 'Corruption', 'Treason']"
157,form witchcrafthow r9 increase considered reduction cpa mos countryduty corruption theft,17:12:20 09:51:24,"Johannesburg, South Africa","['CountryDuty', 'Corruption', 'Theft']"
158,freefall tipping point turning point politics corruption 11,17:12:20 09:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
159,thiefinchief zuma corruption leadership 10,17:12:20 08:10:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
160,2019 time change real change want see beginning towards better life 4 end corruption,17:12:20 07:34:08,"Durban, South Africa","['better', 'Corruption']"
161,whether ramaphosa supporters serious renewal moot hopelessly outnumbered face deeplyentrenched corruption powerful zumapatronagenetwork,17:12:20 06:41:41,"Cape Town, South Africa","['Ramaphosa', 'ANC', 'corruption', 'ZumaPatronageNetwork']"
162,know various ngos media civil society exposing deeprooted corruption zumapatronagenetwork state institutions taxes continuing abused defend cover depressing,17:12:20 06:21:00,"Cape Town, South Africa","['Media', 'corruption', 'ZumaPatronageNetwork']"
163,thiefinchief zuma corruption leadership 7,17:12:20 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
164,ndz lost zuma connection name handicapped campaign guptas statecapture cabinetreshuffle corruption,17:12:20 05:19:17,South Africa,"['NDZ', 'Zuma', 'Guptas', 'StateCapture', 'cabinetreshuffle', 'Corruption']"
165,ramaphosa must harshly alleviate corruption taking powers zuma mean right,17:12:20 04:47:01,South africa ,"['Ramaphosa', 'Corruption', 'Zuma']"
166,freefall tipping point turning point politics corruption 6,17:12:20 04:10:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
